Domain,Discovery Method,IP Addresses,HTTP Status,Title,Server,Technologies,Open Ports,Takeover Risk
*.borgmon.evenflow-test.adz.google.com,passive,142.250.105.129,400,&Uuml;berProxy: Error 400,,,,No
*.borgmon.evenflow.adz.google.com,passive,64.233.177.129,400,&Uuml;berProxy: Error 400,,,,No
*.client-channel.google.com,passive,74.125.134.189,400,Error 400 (Bad Request)!!1,,,,No
*.clients6.google.com,passive,142.251.34.138,400,Error 400 (Bad Request)!!1,,,,No
*.crowdsource.google.com,passive,192.178.50.78,400,Error 400 (Bad Request)!!1,,,,No
*.dataplex-dev.cloud.google.com,passive,192.178.50.46,400,Error 400 (Bad Request)!!1,,,,No
*.dataplex-staging.cloud.google.com,passive,142.250.217.206,400,Error 400 (Bad Request)!!1,,,,No
*.dataplex.cloud.google.com,passive,172.217.165.206,400,Error 400 (Bad Request)!!1,,,,No
*.evenflow-test.adz.google.com,passive,172.217.215.129,400,&Uuml;berProxy: Error 400,,,,No
*.evenflow.adz.google.com,passive,64.233.185.129,400,&Uuml;berProxy: Error 400,,,,No
*.frame.ads-devel.qa.adz.google.com,passive,74.125.138.129,400,&Uuml;berProxy: Error 400,,,,No
*.frame.ads-nightly.qa.adz.google.com,passive,64.233.185.129,400,&Uuml;berProxy: Error 400,,,,No
*.frame.ads-prod.qa.adz.google.com,passive,74.125.136.129,400,&Uuml;berProxy: Error 400,,,,No
*.frame.adwords-canary.qa.adz.google.com,passive,173.194.219.129,400,&Uuml;berProxy: Error 400,,,,No
*.frame.adwords-detours-prod.qa.adz.google.com,passive,64.233.177.129,400,&Uuml;berProxy: Error 400,,,,No
*.frame.adwords-next-external-devel.qa.adz.google.com,passive,64.233.185.129,400,&Uuml;berProxy: Error 400,,,,No
*.frame.adwords-next-external-prod.qa.adz.google.com,passive,64.233.185.129,400,&Uuml;berProxy: Error 400,,,,No
*.frame.canary.qa.adz.google.com,passive,142.250.105.129,400,&Uuml;berProxy: Error 400,,,,No
*.frame.ds-next-devel.qa.adz.google.com,passive,142.250.9.129,400,&Uuml;berProxy: Error 400,,,,No
*.frame.ds-next-external-devel.qa.adz.google.com,passive,64.233.185.129,400,&Uuml;berProxy: Error 400,,,,No
*.frame.ds-next-external-prod.qa.adz.google.com,passive,173.194.219.129,400,&Uuml;berProxy: Error 400,,,,No
*.frame.ds-next-nightly.qa.adz.google.com,passive,74.125.138.129,400,&Uuml;berProxy: Error 400,,,,No
*.frame.ds-next-prod.qa.adz.google.com,passive,74.125.136.129,400,&Uuml;berProxy: Error 400,,,,No
*.frame.searchads-canary.qa.adz.google.com,passive,74.125.21.129,400,&Uuml;berProxy: Error 400,,,,No
*.ics-devel-east.qa.adz.google.com,passive,74.125.136.129,400,&Uuml;berProxy: Error 400,,,,No
*.machinelearningtools-dev.cloud.google.com,passive,142.250.64.238,400,Error 400 (Bad Request)!!1,,,,No
*.machinelearningtools-staging.cloud.google.com,passive,142.250.64.142,400,Error 400 (Bad Request)!!1,,,,No
